ano;cnae_2_descricao_secao;variable;salario_medio
2015;Informação E Comunicação;Admissões;1334.2857297605474
2015;Informação E Comunicação;Demissões;1599.470679047083
2015;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;1751.8333333333333
2015;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;4584.166666666667
2015;Outras Atividades De Serviços;Admissões;1087.4086722866175
2015;Outras Atividades De Serviços;Demissões;1316.244855072464
2015;Saúde Humana E Serviços Sociais;Admissões;1202.976150206978
2015;Saúde Humana E Serviços Sociais;Demissões;1302.0283526682133
2015;Serviços Domésticos;Admissões;1305.0
2015;Serviços Domésticos;Demissões;1162.7777777777778
2015;Transporte, Armazenagem E Correio;Admissões;1231.1219411961245
2015;Transporte, Armazenagem E Correio;Demissões;1505.898148205686
2015;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;1416.747443365696
2015;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;1557.697492063492
2016;Administração Pública, Defesa E Seguridade Social;Admissões;1713.1697856854023
2016;Administração Pública, Defesa E Seguridade Social;Demissões;1163.774434986792
2016;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;1189.0
2016;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;1060.608695652174
2016;Alojamento E Alimentação;Admissões;1062.5217152500768
2016;Alojamento E Alimentação;Demissões;1072.4590303867403
2016;Artes, Cultura, Esporte E Recreação;Admissões;1199.2320846905538
2016;Artes, Cultura, Esporte E Recreação;Demissões;1113.312074829932
2016;Atividades Administrativas E Serviços Complementares;Admissões;1089.4471032525648
2016;Atividades Administrativas E Serviços Complementares;Demissões;1199.370282878412
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;1847.9647956403269
2016;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;6028.78273068267
2016;Atividades Imobiliárias;Admissões;1297.8203100775195
2016;Atividades Imobiliárias;Demissões;1395.0717105263157
2016;Atividades Profissionais, Científicas E Técnicas;Admissões;1603.0906009852217
2016;Atividades Profissionais, Científicas E Técnicas;Demissões;1722.1973000791766
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;1330.865441769256
2016;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;1496.1669681733867
2016;Construção;Admissões;1050.6043079154579
2016;Construção;Demissões;1327.726367971062
2016;Educação;Admissões;1229.887354157097
2016;Educação;Demissões;1584.6247715946845
2016;Eletricidade E Gás;Admissões;8000.0
2016;Eletricidade E Gás;Demissões;8675.0
2016;Indústrias De Transformação;Admissões;1820.9326375711576
2016;Indústrias De Transformação;Demissões;1898.8650008613265
2016;Indústrias Extrativas;Admissões;1604.739052631579
2016;Indústrias Extrativas;Demissões;1206.368487394958
2016;Informação E Comunicação;Admissões;1846.7162648626486
2016;Informação E Comunicação;Demissões;1804.8933379348425
2016;Organismos Internacionais E Outras Instituições Extraterritoriais;Admissões;1190.75
