desc_cod_escoa_sanitario_domic_fam;cod_familiar_fam
Fossa séptica;1096437201
Fossa rudimentar;1096437392
Outra forma;1096438100
Outra forma;1096438607
Fossa séptica;1096438879
Fossa rudimentar;1096439506
Vala a céu aberto;1096440342
;1096442043
Vala a céu aberto;1096442205
Fossa séptica;1096443287
Outra forma;1096443368
Vala a céu aberto;1096443953
Vala a céu aberto;1096444330
Fossa séptica;1096444925
Vala a céu aberto;1096446030
Fossa séptica;1096446464
Vala a céu aberto;1096446545
Vala a céu aberto;1096447940
Outra forma;1096449056
Outra forma;1096449137
Vala a céu aberto;1096449218
Vala a céu aberto;1096450810
Outra forma;1096451468
Fossa séptica;1096452430
Vala a céu aberto;1096452510
Vala a céu aberto;1096452600
Vala a céu aberto;1096452944
;1096453754
;1096453916
Outra forma;1096454564
Fossa séptica;1096455102
Fossa rudimentar;1096455374
Vala a céu aberto;1096456699
Vala a céu aberto;1096457903
Vala a céu aberto;1096458209
Vala a céu aberto;1096459019
Vala a céu aberto;1096459108
;1096459361
Fossa séptica;1096459795
Direto para um rio, lago ou mar;1096460297
Outra forma;1096460378
Direto para um rio, lago ou mar;1096460530
Outra forma;1096460610
;1096461773
Outra forma;1096463393
Fossa rudimentar;1096464101
Outra forma;1096464799
Outra forma;1096465094
Vala a céu aberto;1096465256
Vala a céu aberto;1096465680
Outra forma;1096465841
;1096466570
Vala a céu aberto;1096466732
Outra forma;1096466902
;1096467623
Vala a céu aberto;1096467704
Vala a céu aberto;1096468000
Outra forma;1096468514
Vala a céu aberto;1096468867
;1096469081
Vala a céu aberto;1096469596
Vala a céu aberto;1096469839
Vala a céu aberto;1096470764
;1096471221
Outra forma;1096471906
Vala a céu aberto;1096472031
Vala a céu aberto;1096472708
;1096472970
Fossa rudimentar;1096529599
Vala a céu aberto;1096529750
Vala a céu aberto;1096529831
Fossa rudimentar;1096530090
;1096530171
Outra forma;1096530686
Fossa rudimentar;1096530929
;1096532387
Vala a céu aberto;1096532891
Vala a céu aberto;1096533510
Vala a céu aberto;1096533863
Fossa rudimentar;1096534592
Vala a céu aberto;1096534754
Vala a céu aberto;1096534835
Vala a céu aberto;1096535050
Direto para um rio, lago ou mar;585332819
Fossa séptica;585333971
Vala a céu aberto;585334196
Vala a céu aberto;585334862
Fossa séptica;585334943
Vala a céu aberto;585335320
Vala a céu aberto;585335672
Fossa séptica;585336482
Vala a céu aberto;585336563
Fossa séptica;585336644
Vala a céu aberto;585336806
Vala a céu aberto;585336997
Fossa rudimentar;585337373
Outra forma;585337535
Vala a céu aberto;585337969
Fossa séptica;585339317
Vala a céu aberto;585339902
Fossa séptica;585340757
Fossa séptica;585340919
;585341052
Vala a céu aberto;585342024
Fossa rudimentar;585342377
Fossa séptica;585342458
Vala a céu aberto;585342539
Vala a céu aberto;585342709
Vala a céu aberto;585343187
Vala a céu aberto;585343349
Fossa séptica;585343853
Outra forma;585343934
Fossa rudimentar;585344159
Outra forma;585344582
Outra forma;585345473
Vala a céu aberto;585345716
Vala a céu aberto;585346607
Vala a céu aberto;585347093
Outra forma;585347174
Outra forma;585347255
Outra forma;585347506
Vala a céu aberto;585347921
Fossa séptica;585348065
Vala a céu aberto;585348570
Vala a céu aberto;585348650
Outra forma;585348901
Vala a céu aberto;585349622
Outra forma;585349975
Outra forma;585350124
Outra forma;585350477
Vala a céu aberto;585350558
Outra forma;585350639
Outra forma;585351287
Vala a céu aberto;585351872
Fossa séptica;585352097
Outra forma;585352178
Vala a céu aberto;585352925
Fossa séptica;585353220
Vala a céu aberto;585353573
Vala a céu aberto;585353654
Fossa rudimentar;585354111
;585354898
Outra forma;585355606
Outra forma;585356670
Vala a céu aberto;585356831
Vala a céu aberto;585356912
Vala a céu aberto;585357056
Vala a céu aberto;589538179
Vala a céu aberto;589538500
Vala a céu aberto;589539140
Vala a céu aberto;589539574
Vala a céu aberto;589539655
Vala a céu aberto;589539817
Vala a céu aberto;589539906
Vala a céu aberto;589540580
Vala a céu aberto;589540823
Vala a céu aberto;589540904
Outra forma;594469864
Direto para um rio, lago ou mar;619974044
Outra forma;655008659
Vala a céu aberto;665376731
Fossa séptica;665376812
Vala a céu aberto;665376901
Outra forma;665377975
Fossa séptica;665378270
Fossa rudimentar;665378351
;665378432
Fossa rudimentar;665378947
Outra forma;665379161
Direto para um rio, lago ou mar;665379404
Vala a céu aberto;665379676
Vala a céu aberto;665380178
Vala a céu aberto;665381301
;665382030
;665382545
Fossa rudimentar;665382626
Vala a céu aberto;665383002
Fossa rudimentar;665383274
Vala a céu aberto;665383355
Vala a céu aberto;665383436
Vala a céu aberto;665383940
Fossa rudimentar;665384084
Outra forma;665384165
Fossa rudimentar;665384327
Fossa séptica;665384408
Vala a céu aberto;665384599
Outra forma;665384831
Direto para um rio, lago ou mar;665384912
Vala a céu aberto;665385056
Fossa séptica;665385218
Vala a céu aberto;665385480
;665386370
Fossa séptica;665387504
Outra forma;665389043
Fossa séptica;665389205
;665389710
Fossa rudimentar;665389981
Vala a céu aberto;665390211
Vala a céu aberto;665391455
Vala a céu aberto;665391617
Vala a céu aberto;665391706
Vala a céu aberto;665392001
Vala a céu aberto;665392265
Vala a céu aberto;665392770
Vala a céu aberto;665400977
Vala a céu aberto;665401000
Vala a céu aberto;665401949
Vala a céu aberto;665402830
Fossa rudimentar;665403216
Fossa rudimentar;665403640
Vala a céu aberto;665404026
Vala a céu aberto;665404298
Vala a céu aberto;665404379
Vala a céu aberto;665404700
Vala a céu aberto;665405774
Outra forma;665405855
Vala a céu aberto;665406231
;665406827
Vala a céu aberto;665407556
Vala a céu aberto;665407980
Fossa séptica;665408366
Vala a céu aberto;665408951
Fossa séptica;665409257
Fossa séptica;665409419
Vala a céu aberto;665409508
Vala a céu aberto;665409680
Vala a céu aberto;665409923
Fossa séptica;665410263
Fossa rudimentar;665411073
Fossa rudimentar;665411235
Fossa rudimentar;665411316
Vala a céu aberto;1096370115
Fossa rudimentar;1096370700
Fossa séptica;1096370972
;1096371006
